Date (yyyy.mm),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2015.01,8.098262580952671e-10,3.0883162976654023e-07,1.525151685872631e-08,0.07991513486438637,0.010084987742798623,22.298194111603344,1.0874966668892647,0.04487918700019809,0.04518100923412084,0.09006019609017898
2015.02,8.40340709450754e-10,3.439957474283096e-07,2.1594116038875843e-08,0.09299556168711756,0.014398515353238888,21.86625593891239,1.0875881362954527,0.04891671592354553,0.05012664523661039,0.09904336117330048
2015.03,9.502369099248795e-10,3.8626843322064235e-07,2.968910818695141e-08,0.10471489999505601,0.018877538091115836,21.99027794215904,1.0876820710605861,0.05572708136934494,0.05573800302959522,0.11146508435863402
2015.04,1.1161441591140041e-09,4.3225674677703503e-07,2.9053940418963543e-08,0.10252388873531962,0.01600619200258693,22.61875172652533,1.0875511244988454,0.06717209150535443,0.05279790789177538,0.11996999932928146
2015.05,1.3402965805562793e-09,4.5462669343248614e-07,2.2809311813558403e-08,0.1006113378231921,0.012079927177232382,23.423797957427034,1.0872624772454769,0.06791743905393077,0.05067293747519527,0.11859037655833073
2015.06,1.3171420675858452e-09,3.9832685580823584e-07,1.7091572562855138e-08,0.09433664580674929,0.010597744112790646,24.60063240934977,1.087072718554225,0.061871333112655455,0.04936564292524077,0.11123697592355183
2015.07,1.213407621037937e-09,3.607818064026484e-07,1.4430523032163911e-08,0.08914399563303586,0.010048007745442027,25.743629166270754,1.0869983729766675,0.054110239056300406,0.049867065787552595,0.10397730485994028
2015.08,1.0615805359008083e-09,3.4193469427890563e-07,1.3209616348783169e-08,0.08605634355441234,0.009627031577621655,26.716152079621324,1.0870324775698796,0.05068722653672615,0.048231186730242695,0.09891841317359344
2015.09,1.0030629288559681e-09,3.1691599275079066e-07,1.1263362721830709e-08,0.08146117849001666,0.008681410448431867,26.53273779511775,1.0870756020202479,0.04848167764040207,0.04679054975077182,0.09527222721618055
2015.10,9.456186832645537e-10,2.9382719720621025e-07,9.695156107901052e-09,0.07568612637108618,0.007616164944238734,25.54660676509931,1.087261348896521,0.04575671525229906,0.04347012929056788,0.08922684454594196
2015.11,8.881098463705257e-10,2.703070138925216e-07,8.968484201796933e-09,0.07142458338318729,0.007088363692980582,24.409060439559717,1.0872321987208384,0.043599931295551536,0.040651013593719816,0.08425094485682841
2015.12,8.31055470686494e-10,2.6113080356259855e-07,9.332674451240218e-09,0.07123315045687376,0.007534949891566454,23.100321467489994,1.0874333722897567,0.03923801229684531,0.04114781607113563,0.08038582840308758
2016.01,7.623384412726865e-10,2.8705651580832665e-07,1.3511570463342493e-08,0.07932718416068388,0.010507268886405673,22.48470014294325,1.0873430386711849,0.03993393675627589,0.045347880425903174,0.08528181702521863
2016.02,7.711869506980508e-10,3.302953148249504e-07,2.105008819180304e-08,0.09257767959266605,0.014576778146557699,22.1946461894838,1.0871832655474185,0.04370976781726805,0.050051685295672194,0.09376145312839503
2016.03,8.819737826866222e-10,3.6842840175564407e-07,2.9298125259812063e-08,0.10253478687442483,0.019499512255520567,22.223053634401232,1.0868715116829955,0.052357820088043794,0.05767016031533546,0.11002798042553931
2016.04,1.0775534151968329e-09,4.1357562383005235e-07,2.9297320033111425e-08,0.10753983649920926,0.018154559093555848,22.783007259453168,1.0869990006197492,0.06654507582625316,0.05472112585929961,0.12126620171160528
2016.05,1.314833620144969e-09,4.1194231644234687e-07,1.933850421519463e-08,0.10260819163047358,0.011989722654144013,23.440965964471978,1.08686708334603,0.06844680551422697,0.04903683975369721,0.11748364522663621
2016.06,1.272300571571294e-09,4.012657725114154e-07,1.6606647005442846e-08,0.09607124994109388,0.010175377111803907,24.79079652227629,1.0867759385828888,0.06393684265604624,0.04886024714430356,0.11279708968553939
2016.07,1.1373407678418674e-09,3.6733342298367876e-07,1.3395789912638973e-08,0.08939823637268757,0.009187931991453756,26.460181509130994,1.0868192048115857,0.0563458469630146,0.048529791394898145,0.10487563819024957
2016.08,1.0633307309669516e-09,3.256742360552595e-07,1.0896142877746509e-08,0.08379885754008787,0.008580292635701536,27.321357630665936,1.0867654695006708,0.05010378024241035,0.04819571973741609,0.0982994998109459
2016.09,9.72144641336656e-10,3.032703194600748e-07,8.715759200428504e-09,0.07900198197299725,0.007627049663026411,27.24515877198021,1.0867921156737324,0.045634236869121755,0.045692384601064555,0.09132662157358258
2016.10,8.921448736400267e-10,2.661037729593736e-07,6.824667325955351e-09,0.07133784904581206,0.006417587381641106,26.32781496313634,1.0867821029748819,0.04031861183262336,0.04153119912819269,0.08184981095304666
2016.11,8.070192567109283e-10,2.3582719938783187e-07,6.171290809402718e-09,0.06561448189101489,0.005856139584944408,24.8997174779726,1.0869913655215233,0.035945834994715355,0.03821591461584288,0.07416174961492758
2016.12,7.180831162809002e-10,2.407350252772878e-07,7.169148939483566e-09,0.06903427451891006,0.00653461196541177,23.666009675521458,1.0871973466661506,0.03195369429867267,0.03921496250658758,0.07116865691154428
2017.01,6.469765197342539e-10,2.6300090411541677e-07,1.2301314140136777e-08,0.07889570981060584,0.010438661829787966,22.800258795924975,1.087189039982451,0.033159899753078585,0.04554918727878525,0.07870908696287422
2017.02,6.643658243283257e-10,3.143138704152498e-07,1.9914875716044837e-08,0.09498840259368,0.015467734674765263,22.20937524613724,1.0869621931434217,0.0373110335783093,0.05106532161050411,0.08837635533139901
2017.03,7.998539882115886e-10,3.6098178762087845e-07,3.426390116262523e-08,0.10834401228099104,0.023166307990820537,22.240890625005036,1.0867577127238253,0.047237157199270956,0.058876159412393624,0.10611331655313663
2017.04,1.0535178088850468e-09,4.026127368785488e-07,3.0342307886459654e-08,0.10698339251003237,0.018378870327079827,22.67180548541052,1.0868315019598362,0.06595292799976797,0.05402806210759606,0.11998099013980405
2017.05,1.3932240392033716e-09,4.2721167277157137e-07,1.8005458021028108e-08,0.10223774169728679,0.010809836435163915,23.616933634198613,1.086803929913331,0.06731291601550093,0.047180976985791656,0.11449389287690452
2017.06,1.2870830859977499e-09,3.785731094744749e-07,1.4625850977750264e-08,0.09408581901827795,0.009392099115893027,24.641105482842185,1.086930373895114,0.06052110164317489,0.046690098833154475,0.10721120062222947
2017.07,1.0816694739472002e-09,3.263927727923945e-07,1.1594784871195233e-08,0.08691369383928785,0.008764102085015203,25.96438157235438,1.0870951411184049,0.05255225471093028,0.047704651109836155,0.10025690580014429
2017.08,9.554771556308273e-10,3.112478310257227e-07,9.674778800407535e-09,0.08332049680441443,0.008090971417264285,27.009068327541687,1.087244573806933,0.04741157709150357,0.04667448376804014,0.09408606091816302
2017.09,8.603597346446029e-10,2.933996203816334e-07,8.405209741168278e-09,0.0781144770605304,0.007353394442775818,27.132137612235905,1.087380959510703,0.04394365563057515,0.044749019073591016,0.08869267470129887
2017.10,8.289898887194356e-10,2.773142855145074e-07,7.4184959675096954e-09,0.07329982079828457,0.0066108749926319585,26.23686913262512,1.087553278909212,0.04087453955869186,0.041884416178739274,0.0827589557715859
2017.11,8.019576076229503e-10,2.51313289330519e-07,6.653406013395893e-09,0.06857223567503351,0.0062012015216502524,24.726094256136406,1.0879845650427047,0.037438913808751355,0.039108320706611084,0.07654723453622331
2017.12,7.422210506667019e-10,2.3976582708254043e-07,6.833479453133661e-09,0.06803869471439537,0.006505494095863432,23.719676824992973,1.0884409758286322,0.035215005369844496,0.03783320154393602,0.07304820683642921
2018.01,6.825924184284009e-10,2.835937173722612e-07,1.167051961127766e-08,0.08077605923285096,0.009650161459081638,22.664020358585724,1.0885244924577675,0.036717576566880405,0.04392632044829961,0.0806438970022123
2018.02,6.895781719767233e-10,3.374245261049661e-07,2.2099746002349052e-08,0.09410753263238172,0.01535086294318993,22.110419420691272,1.0884328462108357,0.04341934533250177,0.05067791560176671,0.0940972610615504
2018.03,8.440084710679471e-10,4.0300147433042734e-07,3.221814542778391e-08,0.111396647781852,0.0207881017915929,22.030924385982086,1.0889138493548889,0.05433818295616305,0.05740595919867575,0.11174414221724258
2018.04,1.1333330285873504e-09,4.468401714697881e-07,2.806958438871031e-08,0.10491801902072122,0.015128649598515337,22.86009559195369,1.0890871840778122,0.06758014057133417,0.05267701921971683,0.12025715973665194
2018.05,1.412156102838405e-09,4.5794396772709946e-07,2.1230593774022925e-08,0.10262585084585076,0.011233552420466003,23.599183663502586,1.0892313804739728,0.06935399215120587,0.04990594971510727,0.1192599418022336
2018.06,1.3250634129464457e-09,4.0694090467378047e-07,1.6113284923447013e-08,0.09499205027055233,0.00981402020768313,24.867235968406096,1.0891475213245019,0.06350755322620878,0.0504339922096916,0.113941545551208
2018.07,1.2098612131964474e-09,3.7173512528531004e-07,1.4337993019689542e-08,0.09031445515421745,0.009438309727904706,26.090503248740912,1.089322962650499,0.05613675679194739,0.050607838219107595,0.1067445952148632
2018.08,1.060219041618047e-09,3.6046295321589245e-07,1.4167604329454796e-08,0.08771768766335764,0.00939145025952114,26.97796164359187,1.0895090880981733,0.05460437448792978,0.05007510462759484,0.10467947920409008
2018.09,1.0286430741173683e-09,3.3977839745342865e-07,1.3638106713858106e-08,0.0827064062607803,0.008810075020730043,26.937506154967352,1.089656066008079,0.05187706116913002,0.04803681752865055,0.09991387872373181
2018.10,1.0014812546492244e-09,3.2118656089047287e-07,1.2839649774115936e-08,0.07693063597986857,0.007969663504956216,25.91414998330909,1.0898411520713311,0.04930586828884007,0.04434261697925151,0.09364848538667618
2018.11,9.692355551061273e-10,2.904738501143201e-07,1.0775650267186537e-08,0.07150413336909796,0.007072424503134093,24.48596768113729,1.0904028630153315,0.045387065016200455,0.04150712326700551,0.08689418828783123
2018.12,8.961720314648434e-10,2.7910334501817004e-07,1.122624102769437e-08,0.071705596945107,0.007713261820914613,23.37514599742424,1.0904002241904236,0.04266969709432119,0.04172756818139187,0.08439726541935841
2019.01,8.259916462821572e-10,3.056403422486407e-07,1.6171194532558468e-08,0.08080250511307328,0.010734479643578347,22.436220511452028,1.0907295352009503,0.04299602601932312,0.0456222815404503,0.08861830770336517
2019.02,8.29599094030829e-10,3.4127851661893334e-07,2.4215898020958193e-08,0.09102439533154097,0.015229299494622945,21.97916289984462,1.0908220588834692,0.04817368611857523,0.05212098773710494,0.10029467386469389
2019.03,9.562679910036776e-10,3.9377587544825967e-07,2.9306191904203816e-08,0.10209958767597664,0.017423603041971564,22.017809622848063,1.090993308068472,0.057934438080572755,0.05352085863554485,0.1114552967535558
2019.04,1.1678501839229405e-09,4.2725004679072683e-07,2.447478568411243e-08,0.09928917895772246,0.013444156110394134,22.904454494838372,1.0906312687552997,0.06664718801868484,0.05187593782377427,0.11852312572023598
2019.05,1.2916183162468594e-09,3.976915029689326e-07,1.829547139337875e-08,0.09575348667658821,0.010831278712664028,23.884027809675597,1.0905260353032913,0.06372907644385009,0.0493522426366764,0.11308131890171524
2019.06,1.1856356894726462e-09,3.565665773514275e-07,1.4829815488022418e-08,0.09084830651421474,0.009735230542653317,25.04066018886653,1.0905207828942025,0.05665119621888743,0.04968636124049105,0.1063375575468654
2019.07,1.0378298165108498e-09,3.165734810625123e-07,1.1758925567644406e-08,0.08523779449952688,0.008999953097970139,25.931840387050105,1.090761809943342,0.049940924962214195,0.04848691239509442,0.09842783742388728
2019.08,9.336250962032318e-10,3.100613541244454e-07,1.038116948606082e-08,0.08291611980311132,0.008244999998723416,26.690208529114855,1.0907931341346528,0.04564252980630301,0.04763854027539824,0.09328107001319104
2019.09,8.527504660497399e-10,2.942463188710157e-07,9.807706059429489e-09,0.07728854295431899,0.007498372688620443,26.558128170596177,1.090519232452486,0.0436054599561827,0.04484290199049303,0.0884483618405523
2019.10,8.262331454848094e-10,2.8544321389508285e-07,8.894834480788998e-09,0.07425011697776582,0.006739521362226843,25.59307542565486,1.0905467934210311,0.04137792964272069,0.04267422268740853,0.08405215228793754
2019.11,8.119739754810087e-10,2.593737159395565e-07,8.623646473516166e-09,0.06984386706509395,0.00676839100959019,24.472837144806196,1.090770105896316,0.03835413969589943,0.0405134132937167,0.07886755301836658
2019.12,7.647884703035913e-10,2.4758529731887725e-07,9.398701763382352e-09,0.06977406747314639,0.007491977282457863,23.30548487500867,1.0906867477153235,0.03647756737398812,0.039790053374974314,0.07626762084127246
2020.01,7.132913897040216e-10,2.7887667662302797e-07,1.2554041183619232e-08,0.07889869981424212,0.00959338075539796,22.566635282650378,1.0909474833178845,0.03671457411650902,0.044296740578081695,0.08101131481578716
2020.02,7.19197590838241e-10,3.0534795287001285e-07,1.8441665787693435e-08,0.09036099917405224,0.014070095744201401,22.252265529161875,1.0911767250891973,0.039800993937515065,0.05184021408841995,0.0916412079564611
2020.03,8.083089681933541e-10,3.461837571527028e-07,2.835229823302552e-08,0.1007832449054395,0.018636486027187146,22.365672920800343,1.0909609013763668,0.047975794170585846,0.05601776185350218,0.10399355600236422
2020.04,9.787905444879207e-10,3.9934436710652544e-07,2.3891386390265745e-08,0.09920239582500776,0.01405987644990266,23.005861049521442,1.0908085573542048,0.05916101113071349,0.051357047344649916,0.11051805852703228
2020.05,1.202589097392558e-09,4.19467952324259e-07,1.815852339962403e-08,0.0969897293717303,0.010388774875255774,23.978227582312254,1.090451530435802,0.06292681764967002,0.04797037946551568,0.11089719723154823
2020.06,1.179468772210752e-09,3.609684751943985e-07,1.355072569317376e-08,0.09039095147088634,0.00902766295694123,25.280417222278825,1.0902899899513843,0.05460245271508934,0.04676124311940274,0.1013636957057771
2020.07,1.0527588385196174e-09,3.126563354572504e-07,1.0476693986303386e-08,0.0844404606163525,0.00843130521299115,26.455442425564335,1.0904346118275379,0.047994007281954534,0.04737164321574212,0.095365650522283
2020.08,9.013376060414677e-10,3.035345274173507e-07,1.0579377206045308e-08,0.08205214146961401,0.008468205524962923,27.200609767801257,1.0906988793782046,0.04512324227760726,0.04672494377467546,0.09184818610754797
2020.09,8.272968381123862e-10,3.008666222089716e-07,9.853662922103743e-09,0.07911980620128774,0.007705109520002191,27.1206628584683,1.0909183338875375,0.04426567188907715,0.04453212257444895,0.08879779445583745
2020.10,8.348062266842116e-10,2.8501284507174923e-07,9.157979130338439e-09,0.07392979084210427,0.007100753488424968,25.996697712909246,1.0910684664705639,0.04179717199084453,0.04241436245150633,0.08421153445203436
2020.11,8.065131808350934e-10,2.6998698261046354e-07,1.022670144072496e-08,0.07178004182581897,0.007611512903060116,24.59410768214971,1.0916060345916179,0.04137854354086166,0.040814136681121264,0.08219268019757316
2020.12,7.93422619111543e-10,2.6434284405132796e-07,1.0352109442251736e-08,0.07160033721440852,0.008047376031656816,23.37665594759628,1.0919102283978663,0.03946904120276142,0.039596205790002316,0.0790652470580906
2021.01,7.666813506077362e-10,3.040828222102593e-07,1.5101542744357468e-08,0.08080352963407346,0.010474886607747848,22.682229467743756,1.0925126799868887,0.04098802812964796,0.04466683857005382,0.08565486666833252
2021.02,7.868547207363212e-10,3.395526016272952e-07,2.1860762467067113e-08,0.09221432216050132,0.01465375715296239,22.37564832275628,1.0924687889564817,0.04562580757591423,0.049150457355538316,0.09477626477870336
2021.03,9.229348965021938e-10,3.7476840481541304e-07,2.8244277094597864e-08,0.10104839211655438,0.018128731343944306,22.266628645843486,1.092342853832903,0.05279767646964987,0.053664737385195456,0.10646241374913694
2021.04,1.0964161504878296e-09,4.1143027450298935e-07,2.586612345271904e-08,0.0999900833608201,0.014586374470000083,22.873347469692426,1.0922817577443782,0.06296871948953539,0.05403505799325236,0.11700377730154553
2021.05,1.239314596224918e-09,4.309335796605602e-07,2.3721465863143415e-08,0.10075338754833363,0.012442078652150107,23.83561681106145,1.0921829170356785,0.0671634906186361,0.050890366335603926,0.11805385706533249
2021.06,1.2172715200776599e-09,3.924132015762079e-07,1.7207108975032468e-08,0.09396220219517452,0.010014903134549209,25.076051414876165,1.0922328276940538,0.06227352433175725,0.048919059199528804,0.11119258352181062
2021.07,1.1578363270605483e-09,3.566766432372621e-07,1.2591760577734635e-08,0.0874338470822929,0.008628861779676157,26.37365560758475,1.0924814521000816,0.054393632521361646,0.04816854845043574,0.10256218086441524
2021.08,1.0275866017689509e-09,3.1845666106869317e-07,1.0327923228323755e-08,0.08171900686488863,0.00802088897464953,27.452650219380125,1.0926930228175082,0.047507524507243534,0.04700520551086896,0.09451272992976573
2021.09,9.266744342757378e-10,2.91751963458595e-07,8.063427047733605e-09,0.0763781686382479,0.007026229097194616,27.602757292333422,1.0926044887141848,0.042685448100018196,0.04451225167217255,0.08719769979633092
2021.10,8.409041540473533e-10,2.635208756163498e-07,6.6035321135403e-09,0.07000836558524291,0.006060060255683667,26.564242993279166,1.0927905264275732,0.03840054170296222,0.04086146113165585,0.07926200282327225
2021.11,7.689793156950719e-10,2.3915871210017876e-07,7.071145417093539e-09,0.06645867971652723,0.0062227925398820865,25.152162864948625,1.0928160409410341,0.034607117375493074,0.039020857898308565,0.07362797541912833
2021.12,6.839122596789368e-10,2.3567800534795194e-07,7.616958376601356e-09,0.06693234468554655,0.006768713281502919,23.781142752266835,1.0928099331923247,0.03340157405154678,0.038033852119414506,0.07143542614540496
2022.01,6.506015275938173e-10,2.719800262249787e-07,1.2264304062942668e-08,0.07892166049026238,0.009874268755994745,22.833140104323938,1.0926828440013716,0.03510207750850166,0.04329034456496854,0.07839242215110435
2022.02,6.73585105318919e-10,3.3684343147741106e-07,2.2553060790280174e-08,0.0963311200717056,0.01580136660313492,22.38313593404474,1.0925315857940636,0.04102610712484458,0.0547280782375055,0.0957541853451892
2022.03,8.149970051530227e-10,3.927802173324787e-07,3.509385265271526e-08,0.11164573436943998,0.023128075000348837,22.461478690123773,1.0927083361874455,0.05209603989073464,0.05820473978588931,0.11030077972758551
2022.04,1.1185118669740742e-09,4.4031604119816616e-07,3.331872375390503e-08,0.10641522816072091,0.018184039133756713,22.77212573246173,1.0926732013824205,0.0676239137980728,0.05383786894609725,0.12146178256655578
2022.05,1.46439662846447e-09,4.4858094885578995e-07,2.4358347261021978e-08,0.10488404235525582,0.012456283343047757,23.754349493956713,1.0926487838771353,0.0699084712774868,0.0510496011924761,0.1209580724028455
2022.06,1.3636675053947505e-09,4.185106296955413e-07,1.9033580374448443e-08,0.09712986310065075,0.010664772361128168,24.921603788700082,1.092659147506755,0.06680555711618333,0.04886455374652089,0.11567011096110075
2022.07,1.2060149785371562e-09,3.739522910289852e-07,1.532840762176332e-08,0.09171593917770439,0.010111343131693647,26.226610032082412,1.092797426268941,0.058816038940828444,0.049770323444265414,0.10858636238575126
2022.08,1.0945260041406684e-09,3.5518691153004014e-07,1.5125597335209934e-08,0.08811240892469249,0.010043052757989626,26.972798035105182,1.092872723879956,0.0554535297494361,0.04970083267698751,0.10515436256281784
2022.09,1.0160608468510878e-09,3.2812376618997594e-07,1.2747461932130934e-08,0.08184430167026693,0.00877861086335268,26.620147998015447,1.0928278900534125,0.05260899111364608,0.047175762692014275,0.09978475378516921
2022.10,9.794011330292535e-10,3.0664623186779346e-07,1.1590173296450292e-08,0.07656483147067775,0.008062346122993048,25.663895792673237,1.0931174146580172,0.04885949133427701,0.044326416530109214,0.09318590784638549
2022.11,9.112650718322851e-10,2.8307558216745193e-07,1.0624537423529704e-08,0.07256228975082653,0.007794124355615946,24.423058377411333,1.0932278940789155,0.04643652681580158,0.042094684225116225,0.08853121110248856
2022.12,8.576605635375784e-10,2.7797748977081274e-07,1.1080337732241855e-08,0.07338881580618486,0.00800832472692871,23.111225617968785,1.0937327581133207,0.04424412513541783,0.04120942469370386,0.08545354994227894
2023.01,7.992618037276036e-10,3.0280816821768114e-07,1.5357197737494696e-08,0.07996301715228836,0.01058817644228607,22.28908054947071,1.0939345294720908,0.04445350180073432,0.046116849135211656,0.09057035095953087
2023.02,8.06649828231874e-10,3.4923805787418984e-07,2.198839141492343e-08,0.09387101175122775,0.014552538706839428,21.835536975047162,1.0939519608358623,0.04912519078945802,0.05025271446623128,0.09937790527811823
2023.03,9.180296012110751e-10,4.0050671593119157e-07,2.9601845721599702e-08,0.1023991511594456,0.01788327511123787,22.188055792321034,1.0939475731769233,0.059500166626930494,0.05545763104614601,0.11495779782072468
2023.04,1.1181536074589773e-09,4.2610747744210615e-07,2.530478781035254e-08,0.10286863927510803,0.014590875173710605,22.655891140273198,1.0939535873694064,0.06856302084074423,0.051029243467564836,0.1195922641445832
2023.05,1.2916013118177594e-09,4.243975367637178e-07,2.0934318371648067e-08,0.09849885055273119,0.011430375856361957,23.743254495234364,1.093719948534165,0.0673157993093745,0.04932436051860064,0.11664015987865588
2023.06,1.2119247309540282e-09,3.667610253674987e-07,1.470248106114634e-08,0.0912446361208427,0.009647449562990473,25.057844806781144,1.0935188767273414,0.05845407876496414,0.049461812472044404,0.10791589129808188
2023.07,1.0803276038151598e-09,3.3380709307406095e-07,1.2803778608858231e-08,0.08673943570426645,0.009415794672377199,26.1302686781911,1.093541299045908,0.05177296261608238,0.04992651855789012,0.10169948121358187
2023.08,9.358712046239371e-10,3.391167215575671e-07,1.3538322144228252e-08,0.0855968123443911,0.009417860145819528,26.799426899944784,1.0934336126683977,0.04996727569018574,0.04947543215522608,0.09944270783621269
2023.09,9.017354125034354e-10,3.26609574296354e-07,1.2013201877873778e-08,0.0812025950835118,0.008419734166660562,26.84618674696494,1.0933178035588276,0.04932215075455815,0.046607289477499925,0.09592944021549034
2023.10,9.277885158517742e-10,3.0219693412620986e-07,1.0548505781340859e-08,0.07579655476209886,0.007461487801762114,25.690002467728405,1.0933275576110013,0.04599727939663454,0.0438929020479204,0.0898901814748326
2023.11,8.807347555833834e-10,2.779155527729665e-07,9.431640155904663e-09,0.07097593964724132,0.006911374834026297,24.399528301104898,1.093492166883026,0.043189008282429164,0.040836918488925615,0.08402592690366233
2023.12,8.283693444928247e-10,2.667586171852824e-07,9.405491968211904e-09,0.07139565973126026,0.007475932863331075,23.34201109020992,1.0935633832848168,0.04106293638321733,0.041040282195423605,0.08210321854390054
2024.01,7.678694143541475e-10,2.9030854282779843e-07,1.2845690489101919e-08,0.0771115344021002,0.009190702204034411,22.713836076255696,1.093410758167946,0.03952748272057328,0.04393252313368164,0.08346000595227136
2024.02,7.604557623903257e-10,3.150725854816151e-07,1.9162569107735983e-08,0.08918846435336972,0.014149098479423567,22.416734210976493,1.09331296239159,0.0418852243000686,0.050771299721361365,0.0926565240305519
2024.03,8.295701509857937e-10,3.526678331532409e-07,2.7822665666668454e-08,0.0986623257158941,0.017939883257978156,22.35859512694607,1.0929785181950227,0.05076517457463779,0.05471990584324801,0.10548508049195758
2024.04,9.937611668891203e-10,3.942209956064887e-07,2.675782867459756e-08,0.10141276108263696,0.015913149074069547,23.010931490914125,1.0927405232139247,0.061201080555007455,0.05154243472019372,0.11274351545531203
2024.05,1.185995884574553e-09,4.078504087095254e-07,2.134513174426658e-08,0.09819381403096507,0.011514287033381088,23.940088945840987,1.0924554983582098,0.06432136441010551,0.048993123111717836,0.11331448759464802
2024.06,1.1673420422871025e-09,3.821582400016329e-07,1.585209885924288e-08,0.0925812516915886,0.009534023233959734,24.946614679746645,1.092415497721829,0.05999048990450373,0.0480851402254186,0.10807563022522393
2024.07,1.0583920564953693e-09,3.43022942841571e-07,1.278343207035845e-08,0.08736376562245568,0.008918361884408168,26.06965847114604,1.0925008716349904,0.05346156524745612,0.048565039027162776,0.10202660420440385
