Date (yyyy),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2015,1.0163636226876932e-09,3.4564674047112026e-07,1.5991001956744037e-08,0.08707231833984118,0.010682693620359328,24.033684963154126,1.0873765654598604,0.052613324744294955,0.048083079687352204,0.10069640450616531
2016,9.272040326757201e-10,3.245090134142978e-07,1.3021161612736257e-08,0.08400892199110487,0.009522333083628187,24.41346481750927,1.0874742586497474,0.04649447601730913,0.04642728905496025,0.09292176504570067
2017,1.0334186648490121e-09,3.552959583421537e-07,1.7396944299716235e-08,0.09092567046518596,0.01170864896791793,24.327242659019845,1.0881926748895014,0.0526021107303459,0.04880264868573769,0.10140475941146708
2018,1.0181642457256766e-09,3.4455398274017195e-07,1.5945383524754604e-08,0.08811917215267712,0.010745124660979773,24.257270701662815,1.089784239785798,0.05230396841299628,0.04797831710886771,0.10028228553674161
2019,9.651664959459194e-10,3.361927065110581e-07,1.471012267362043e-08,0.08612690260242535,0.010060099142633441,24.22641246181315,1.0906911218456927,0.04984267390176789,0.04768248227787278,0.09752515618029899
2020,9.175325351839118e-10,3.2296873829857177e-07,1.3332059411749512e-08,0.08454663599296641,0.009546703130871347,24.494514997754532,1.0912767718078553,0.04709751240146091,0.04692410854039846,0.09402162094705906
2021,8.939027541367692e-10,3.1275232334212296e-07,1.3293854263624749e-08,0.08343336429578661,0.009388159219339054,24.67100262111866,1.092070137379756,0.04444956721083615,0.04652337178397803,0.09097293900293334
2022,9.910131983345821e-10,3.4643533875116396e-07,1.7983067086999354e-08,0.08768240390851538,0.011203662628367332,24.66823281744818,1.0927850015675624,0.04961376643579785,0.047909798777273006,0.09752356523905925
2023,9.99945412760087e-10,3.430857902152392e-07,1.7657002091351145e-08,0.08630544668847052,0.010875174638906993,24.385191522758646,1.0933005998410021,0.05195099391362925,0.04746934175427969,0.09942033562723916
2024,9.366782946047436e-10,3.323331138203645e-07,1.5030499426268864e-08,0.08397333565681203,0.00990216927409472,24.5872822490737,1.092836963767583,0.04794342880662384,0.046590509814690206,0.09453393864792888
2025,9.89295310854284e-10,3.4824161956312444e-07,1.6793966909869402e-08,0.08676239396404818,0.01080195641839147,24.517720410328295,1.0921042197520872,0.0505716843542508,0.04778497620098334,0.0983566605434305
2026,1.0206100555379815e-09,3.58448110563346e-07,1.858023764973956e-08,0.08997157471123064,0.011713503082690174,24.40644992669343,1.0922285468696724,0.054050918052604306,0.04891900416190703,0.10296992227085311
2027,9.802238375565574e-10,3.3848645164184403e-07,1.7998737822790616e-08,0.08639853165048951,0.01136862477071048,24.54623804230162,1.0927108151284912,0.05123076824878008,0.04714581245681256,0.09837658075096002
2028,9.255801333804389e-10,3.255754827923671e-07,1.6168400421619386e-08,0.08495886925581796,0.010728265030334546,24.865813941362017,1.0930976370780314,0.04759430859260464,0.046348693103268966,0.09394300168191909
2029,1.0489523017632774e-09,3.7287930116263334e-07,2.1498493196676752e-08,0.09256591442057789,0.012930294029384342,24.376203784228153,1.0941626280055068,0.0562644837426331,0.049648111461415755,0.1059125952028907
2030,1.0348006564506596e-09,3.500188824919928e-07,2.0325105319893363e-08,0.08873707737180353,0.012622017422660947,24.28691056634214,1.0956848036998204,0.05525370791704998,0.048651863051110654,0.10390557093189795
