Date (yyyy),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
1850,2.3100701069151953e-09,2.1761741316224913e-07,1.555056289088947e-08,0.19464826663357157,0.02224086075147445,22.73955506086847,-0.34707228665052353,0.06029723656032101,0.04639112324906867,0.10668835980304325
1851,1.9030908204054457e-09,1.997283341859025e-07,1.1675933032967708e-08,0.19280249657579884,0.021046654817805724,23.03772411655498,-0.3476115801463697,0.055306638910191636,0.0426470931335337,0.09795373203185248
1852,1.9287282185685943e-09,2.0847609087629376e-07,1.3198885725455209e-08,0.1952719339418545,0.022399887237300783,23.04810504696096,-0.34726902699505685,0.055232370185031444,0.043684963286304834,0.09891733349786062
1853,2.081832459306199e-09,2.1101537307568347e-07,1.4127065969664753e-08,0.19437664310107408,0.023073938724652094,23.19116293880334,-0.3473554219690372,0.05637826275966168,0.04418006343558609,0.10055832623704365
1854,2.111758136651117e-09,2.1743486110909262e-07,1.3818042656881196e-08,0.19457926648203214,0.022159167262525804,23.03006123775148,-0.34882482318337066,0.05666426239902986,0.04434274863726728,0.10100701107700177
1855,2.20368826862752e-09,2.1836978175907426e-07,1.5725477836891822e-08,0.19616381022373186,0.022746471076625124,23.071049426947493,-0.3503294765524639,0.058057295799312424,0.04549954976669024,0.10355684556084697
1856,2.0101108334549357e-09,2.022241391184517e-07,1.2393553615350899e-08,0.19446542718343696,0.02161190516875747,23.230354537901828,-0.35045108292954286,0.05561838702202473,0.04299779117433955,0.09861617818638795
1857,2.3571349022345023e-09,2.281305395859335e-07,1.9986770481057227e-08,0.19990735017306907,0.026207148711616304,23.11675071871933,-0.35053321995396564,0.06062291933643493,0.04740505763613295,0.1080279770068547
1858,2.5060919317865795e-09,2.279274361515588e-07,1.914410341930678e-08,0.19817441910298772,0.02497743254260994,23.05749452048973,-0.3506907805397657,0.06271540916420361,0.04799710984886046,0.11071251902728031
1859,2.1001163564277803e-09,2.1165506442195335e-07,1.3156588793311634e-08,0.19486351777378494,0.021980050952157507,23.132807331548335,-0.3521422582858218,0.058192294133905635,0.045191777876913856,0.10338407199606446
1860,2.100416367674284e-09,2.149789887433584e-07,1.4075983267884762e-08,0.1956922164021387,0.023002584621190276,23.220463765870083,-0.35330399669117063,0.057303602215049265,0.045183758517328344,0.10248736075008603
