Date (yyyy.mm),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
1850.01,2.064025502566672e-09,2.3254787620364784e-07,1.577447432684885e-08,0.18812803029087835,0.021659986650309607,20.93485498526101,-0.3471709086479709,0.05898265728713097,0.04901879783032737,0.10800145502826815
1850.02,2.0447588398268422e-09,2.561841721009393e-07,2.1024419511605026e-08,0.19263723903840774,0.023841575287740068,20.518879625561286,-0.3476328814872525,0.06149969325355438,0.05435957213521872,0.11585926533686623
1850.03,2.2447939846109583e-09,2.48334922905046e-07,2.24267829338208e-08,0.1903330100215952,0.024322802196913008,20.664053013449823,-0.3475244309600645,0.06392416894872337,0.05428248572899958,0.11820665480656221
1850.04,2.727339120211109e-09,2.484576031239535e-07,2.2041792442822703e-08,0.19335108721151223,0.024504000281494583,20.897343628723103,-0.34720613028392744,0.06448756908397225,0.051980631944724735,0.11646820108396304
1850.05,2.8459323652156505e-09,2.3869589031900537e-07,2.086384656114839e-08,0.19421320014713292,0.023970747403088435,21.53200854745858,-0.3469831225353795,0.06430199650365843,0.04928971080439459,0.1135917074411522
1850.06,2.882446071110607e-09,2.2546104696960827e-07,1.716738452793936e-08,0.19543937629182465,0.022691004245559136,22.989258558913573,-0.3467527215004542,0.06313202937996493,0.04660995421752689,0.10974198368065698
1850.07,2.7570630553629868e-09,2.0907213713720025e-07,1.2674249262327713e-08,0.1985009517939944,0.021565233157647332,24.426616209591433,-0.346768143111388,0.06101915049169012,0.04405726614381856,0.10507641646435112
1850.08,2.484715131820019e-09,2.0300647207036684e-07,1.1503480286340741e-08,0.20329384978735512,0.021269480829418774,25.466703084025973,-0.34691513166959886,0.059325584131855555,0.04313606825217098,0.10246165228976582
1850.09,2.1782559879012335e-09,1.8877711375604542e-07,1.0390050203248396e-08,0.203285537118779,0.02102511255685296,25.64540220994407,-0.3472490829757434,0.05777975439544133,0.04133485622697812,0.09911461066965561
1850.10,1.9676153793981967e-09,1.8528456774301404e-07,1.0415773223084337e-08,0.19930588176262207,0.020807320218349884,24.644243836327316,-0.34704663396326746,0.05642465441992893,0.0404273094832443,0.09685196378699835
1850.11,1.780518937873649e-09,1.802342841688777e-07,1.0464820987030484e-08,0.19066921212823543,0.02056705542702434,23.283192476683997,-0.34686664150557767,0.05600107532982621,0.04026623919606821,0.09626731446994372
1850.12,1.7433769070844157e-09,1.953528714492844e-07,1.1859680424456828e-08,0.18662182401052158,0.020666010763295276,21.872104554481428,-0.3467516111656575,0.05668850549810555,0.04193058702535206,0.09861909257833548
1851.01,1.8165234196130317e-09,2.1340195601443635e-07,1.3440534070640849e-08,0.1847165620925536,0.020883538232259347,21.12395463146411,-0.34705921639718823,0.057291716638282204,0.044459521510417,0.10175123824705323
1851.02,1.959527627960496e-09,2.3645864885498733e-07,1.5720627981843752e-08,0.18737089688693578,0.021552991391073847,20.709854355939765,-0.34745679037600286,0.057853276442442134,0.048442360402593886,0.10629563692312875
1851.03,2.068792488122123e-09,2.333553108771857e-07,1.5840739273790412e-08,0.18885546948927606,0.021848328058752267,20.865461123544698,-0.34755452361961775,0.058554203646594735,0.04817435277414798,0.10672855640928862
1851.04,2.247436646887803e-09,2.2209231395977488e-07,1.3578064040257987e-08,0.1905627085407397,0.021374205931961474,21.304699986399978,-0.34752683840987203,0.05770473609186327,0.04480079854765482,0.10250553453545597
1851.05,2.3236854598852414e-09,2.021798242426263e-07,1.0519106474260256e-08,0.1919715218991408,0.02065222231158764,21.98551862894813,-0.34763893330175116,0.056263735075105535,0.04318269347808685,0.0994464284762525
1851.06,2.101530479593187e-09,1.9559374026212894e-07,9.874739264479629e-09,0.19404152325847582,0.02048315846611867,23.342809756231997,-0.34772644721136775,0.05520066623519707,0.04249222499810758,0.09769289129425542
