Date (yyyy),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
1601,2.0538555477776833e-09,2.0950005620911344e-07,1.5051336950061156e-08,0.1963086423614732,0.0241197240339741,23.38126122230601,-0.31469333438859576,0.05805315592522171,0.042979372571159226,0.10103252850228063
1602,2.386553921657293e-09,2.389612738158429e-07,1.8169659611500915e-08,0.1983823108905178,0.02507656809956434,23.159840817765854,-0.3139797726634595,0.06196638963245671,0.04949826711558855,0.1114646567224125
1603,2.1891377943111587e-09,2.2716381091120242e-07,1.3401413456961925e-08,0.1944092316048126,0.021978375243483034,23.119680264922405,-0.31420491654892563,0.05957054504706965,0.04681045708831998,0.10638100212895729
1604,2.2520278282192007e-09,2.270723723724706e-07,1.5595487043276923e-08,0.19753538907744483,0.023232975166141284,22.936766493853895,-0.31561128390057286,0.05933874680132298,0.046518060166165026,0.10585680698553172
1605,2.1675055633262237e-09,2.1912981131430572e-07,1.495436421596272e-08,0.19583034734014595,0.02238746210626723,23.008198573224234,-0.3153140384642781,0.05901194387147824,0.046306518988256946,0.10531846283699475
1606,2.365029714694203e-09,2.2707017931137648e-07,1.6424065981235553e-08,0.1947693024099483,0.022948889381599568,22.85448060356146,-0.3147488977703344,0.060247568271935205,0.04766443687064422,0.10791200519098444
1607,2.1226306707761126e-09,2.1527009514615947e-07,1.3473204509499134e-08,0.1944063178674457,0.02212685117980667,22.91331073239007,-0.3147896261457898,0.058331826307809725,0.0454660551391922,0.10379788148121964
1608,2.3764861362111634e-09,2.3885486485710154e-07,1.8006711605984295e-08,0.19884752833063735,0.024969260050771644,22.818030236809278,-0.31345752294395307,0.06188099468221181,0.04949835266685728,0.11137934732942466
1609,2.2545954912048452e-09,2.2358425703318392e-07,1.5035076289349667e-08,0.19423504196452593,0.022921374973567377,22.882869594305856,-0.31313019697415123,0.059984047551113806,0.04612208642805269,0.10610613399292325
1610,2.0019223407422955e-09,2.1305605064336268e-07,1.2912967888890494e-08,0.19353944159967074,0.022206768191540955,23.004838310045127,-0.3137968570483373,0.056864649488271524,0.044582970451869236,0.10144761994252428
1611,1.9788129402458132e-09,2.0714768809381192e-07,1.2847752979893637e-08,0.19334416247218203,0.022415738959289513,23.016736859044773,-0.313967622107036,0.05526004651547476,0.04293207671105898,0.0981921232291033
1612,1.9950376365810144e-09,2.031583525567455e-07,1.3955459488335358e-08,0.19628375836194015,0.02365130924841388,23.069088563463712,-0.3138644425895269,0.0556803290476142,0.04297047565220851,0.09865080468113079
1613,2.2157348093890724e-09,2.233201036168287e-07,1.8799330086646313e-08,0.20028645706752793,0.026416855080405,23.061279640125274,-0.313763606955129,0.059149712066092215,0.04630925179564372,0.10545896388978848
1614,2.3365806375194646e-09,2.268462232577161e-07,1.567151260774632e-08,0.19516648123842603,0.02279368901015218,22.94449250955296,-0.3136236770939247,0.05979781301680492,0.04687424395309714,0.10667205700578158
1615,2.4746928513338295e-09,2.4082188409673806e-07,1.7167874334813782e-08,0.19636616996314116,0.023397479419878502,22.722270528414615,-0.3140129582440983,0.06215422105871491,0.0499628272749594,0.11211704829943102
1616,2.16627180783396e-09,2.161686307145254e-07,1.405216254895153e-08,0.19513498203617977,0.022529829766655574,22.92352322409503,-0.3139298841078957,0.05918167953969303,0.04661885259160655,0.10580053214011843
1617,2.0644560649299137e-09,2.0988383050733797e-07,1.3387167866645239e-08,0.19476793580752416,0.022454525103176127,22.92646684735475,-0.314988116716359,0.05691747211719563,0.043852322346879004,0.1007697944876814
1618,2.0773933812082873e-09,2.0905850661083887e-07,1.5065990845888325e-08,0.19596170287311102,0.02358059085583347,23.130506994474917,-0.3152844881195244,0.05704279704401419,0.044078511161349844,0.10112130815557135
1619,2.3522376912573753e-09,2.2558868361629136e-07,1.747201748446893e-08,0.19741459404076145,0.02450036110143289,22.84467508874344,-0.3156747721618495,0.06027750155264417,0.047204129467130956,0.10748163102629642
1620,2.592887983268948e-09,2.4233528916053963e-07,1.7886076243962502e-08,0.19610765408011596,0.023708084599290007,22.750541112237887,-0.3156658288607883,0.06348618161306523,0.05043712279949005,0.1139233044023925
1621,2.1261445476797713e-09,2.0956455716244188e-07,1.2909664095222764e-08,0.194549088423234,0.021994011356379628,22.937593572818415,-0.31567969931586864,0.05800559000812463,0.044514219706853875,0.10251980973051415
1622,2.0462901894885916e-09,2.2258072268516577e-07,1.4502116226479521e-08,0.1964130462227558,0.022964672172534676,22.856287310544417,-0.3153527376051542,0.05810294754970782,0.04609685885822215,0.10419980643181308
1623,2.241110723038609e-09,2.10657127929527e-07,1.6440571409373376e-08,0.19695693811134238,0.02492746073173383,23.199137432070895,-0.31546277715557075,0.05948172926758361,0.04563556785875478,0.10511729706780465
1624,2.283351352191447e-09,2.2272342960323685e-07,1.7787000896613385e-08,0.19922763627389517,0.025121296367250332,22.93578596091588,-0.3166325929790777,0.0612996256751733,0.0486365269242458,0.10993615259784544
