Date (yyyy.mm),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
1601.01,1.650284310098202e-09,2.0969979550283603e-07,1.2954587901358345e-08,0.18530314079668023,0.02177441964550075,21.5436578351533,-0.31469410163137973,0.05602836293902084,0.04151584101611828,0.09754420391134824
1601.02,1.7425056251962352e-09,2.2937042638566769e-07,1.590006874364983e-08,0.191698800891415,0.02330741180010172,21.18259350865793,-0.3146537780254997,0.0569679003479493,0.04564650007993597,0.10261440061000995
1601.03,1.8870947779070483e-09,2.354505325877477e-07,1.9096651353297624e-08,0.1979779101008224,0.025682407188612543,21.0990458525686,-0.3146760948424126,0.05816389307091167,0.04674942929771737,0.10491332247346002
1601.04,2.122065229281384e-09,2.465325312671598e-07,2.6132102842345703e-08,0.2034889978170612,0.029616311393856128,21.19702774494441,-0.31446584866611405,0.06076146204611054,0.04879275315789986,0.10955421509539875
1601.05,2.2997211178165393e-09,2.407402716587583e-07,2.4922291274957135e-08,0.19977358157892325,0.029153164328666218,21.874819035404077,-0.31457945793465525,0.06309290331022904,0.04755118510970484,0.11064408831311992
1601.06,2.6975541196782365e-09,2.277792743810995e-07,1.7527064630660557e-08,0.19632821806692816,0.025057336396706275,23.717853866534416,-0.3148239716264898,0.06187002942055762,0.043912034903190435,0.105782064312666
1601.07,2.758215950467864e-09,2.1632324243535413e-07,1.3368035603580133e-08,0.19892663262849253,0.023392167131378084,25.06698799762638,-0.31498302335097583,0.0595184315597077,0.04313795780777955,0.10265638940758004
1601.08,2.330602713114068e-09,2.026228775020689e-07,1.1947590439054882e-08,0.2023141182239317,0.023032253254937657,26.277813821737286,-0.31493081861715005,0.058164015418856754,0.04197251001993854,0.10013652568258696
1601.09,1.995370166545116e-09,1.8695267448613182e-07,1.0569130427572882e-08,0.2033007883336704,0.022777351169629145,26.54984155130656,-0.3149851781583995,0.056976934606430656,0.040499958045992976,0.09747689264060165
1601.10,1.8372404895186939e-09,1.7726970089582188e-07,9.615645948475143e-09,0.20028833899947845,0.022390676805339335,25.528200777773247,-0.3149739242430406,0.05592681757438992,0.03912559100828707,0.09505240856378304
1601.11,1.70927130879925e-09,1.6524340090508937e-07,8.844550731097387e-09,0.19139738631992723,0.021725424145067104,24.009871844040664,-0.3145635212830622,0.05488510347440286,0.0380380049069567,0.09292310827347816
1601.12,1.6163407649095648e-09,1.7601594650162638e-07,9.738323504684249e-09,0.1849057945803478,0.021527765147894215,22.527420831925276,-0.31399029428396963,0.054282017334093706,0.03881070550038914,0.09309272274333474
1602.01,1.5036800020087057e-09,2.0924329656750184e-07,1.1614542679640021e-08,0.1878487997174463,0.021930797254584394,21.663499995550403,-0.3138486709171449,0.05463866142684329,0.04258742183549425,0.09722608319694444
1602.02,1.544769497641104e-09,2.74169705538648e-07,1.720539795266421e-08,0.19976397970565843,0.023852018206894178,21.186860635574234,-0.31389630500525234,0.05639631337698811,0.0532747910858262,0.10967110431515592
