Date (yyyy.mm),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2015.01,2.1809317263984394e-09,2.5334930869249036e-07,1.491366539884943e-08,0.1859705057444772,0.020947415839919874,22.220322123096278,-0.37431149053305696,0.060751732544756694,0.04858124565644832,0.10933297840502533
2015.02,2.4104374344048953e-09,2.665186442364972e-07,1.52282990393154e-08,0.18775565507060127,0.021000138703705276,21.893847358919842,-0.37420328119736546,0.06088324569509822,0.04963936146802522,0.11052260727556618
2015.03,2.4787236083261728e-09,2.923406671419097e-07,1.7906649489489147e-08,0.19535947488628266,0.022186926270017216,21.568097139080372,-0.3741262703650456,0.06214813998970633,0.05394409586060685,0.11609223580912802
2015.04,2.525185535484024e-09,2.8929689058418303e-07,2.0347762092906456e-08,0.19638585799936284,0.023555473072457537,21.801892041512847,-0.37406226756772865,0.0645808973995536,0.055295285447211434,0.11987618282521266
2015.05,2.75727167602748e-09,2.708688371977483e-07,1.886423973402318e-08,0.19420578113755074,0.023402796599360235,22.957213260187043,-0.37402405685936235,0.06488288886821439,0.051529185900666144,0.11641207477917256
2015.06,2.9497815305338956e-09,2.4847988912451033e-07,1.4099871288358575e-08,0.1944945909940912,0.021799364944219832,24.290375207553424,-0.373961176800164,0.06364130854888655,0.04776198435625162,0.11140329288433105
2015.07,2.8810557967306326e-09,2.3983771667520224e-07,1.1565833777184652e-08,0.1986767000793647,0.02083243183398272,25.633932596979633,-0.37380920305828214,0.061886981931729715,0.0460504197888467,0.10793740168969054
2015.08,2.5657562246343263e-09,2.2941177700502108e-07,1.1370691770929352e-08,0.20187241258581992,0.020868038716043962,26.627957086907898,-0.3739270109686156,0.06076449098215447,0.04483792882864294,0.10560241986423838
2015.09,2.3307415248647583e-09,2.2130920863997866e-07,1.132060267056682e-08,0.20240542669371786,0.020909634275555422,26.920674985156975,-0.3741286319446039,0.05989914196657151,0.04359940896799547,0.10349855100622786
2015.10,2.258088310738028e-09,2.1424505691105245e-07,1.1469745768566435e-08,0.19739633216571253,0.020752848008645457,26.142257937930832,-0.37395026981865703,0.05889345070725187,0.04252227557588496,0.10141572630863332
2015.11,2.146428037948568e-09,2.0853584686856583e-07,1.1750512538933592e-08,0.1902102586621201,0.02050903275850823,24.56652015800405,-0.37351187047720785,0.058466308533501,0.04202625165064678,0.10049256004196819
2015.12,2.0900918286722166e-09,2.2386920025922323e-07,1.3506816181259923e-08,0.18596335636242126,0.020631290175819654,23.276374091460536,-0.3733026647552302,0.05872963281341061,0.0433060991502656,0.10203573207107738
2016.01,2.113466782564585e-09,2.2879564907986666e-07,1.3399334472896761e-08,0.18416984690573426,0.020685186397292454,22.405926416739362,-0.37310989945467454,0.05870611362369336,0.04497105346613227,0.10367716711341989
2016.02,2.220234882037341e-09,2.5254043561260324e-07,1.5515217421479882e-08,0.18805674486778817,0.021265524615685386,22.012113754877745,-0.37304499154088094,0.05894125890236856,0.04700343006381208,0.1059446890679508
2016.03,2.2307208764947466e-09,2.5667174291873254e-07,1.7787374761514475e-08,0.19275789710422497,0.022427255593445956,22.063737304518263,-0.3730839574525542,0.059834553330166206,0.04864437283983471,0.10847892622083467
2016.04,2.4177593586506283e-09,2.4736363604634405e-07,1.8404139569074995e-08,0.192598537482264,0.022888328993626018,22.447728875367623,-0.3732809537592215,0.060512741354196764,0.04824711190332999,0.10875985324167271
2016.05,2.4752156872015393e-09,2.3580011319222862e-07,1.7355702518800753e-08,0.19217220443036762,0.02265532629440388,23.014984146051415,-0.3732776121297271,0.060218552703146515,0.045921475827979424,0.10614002863190708
2016.06,2.451631838167307e-09,2.2399974144704118e-07,1.1572393849375854e-08,0.19425877001161493,0.021214405329640015,24.39423334955461,-0.3732630887466876,0.0592934437534615,0.044272015144053066,0.10356545885568759
2016.07,2.3468457992218616e-09,2.1329493214148102e-07,1.0658430712126178e-08,0.19757677574319082,0.020860502551735327,25.838396254882014,-0.3730519049050543,0.058255975219273955,0.043536696933834274,0.1017926721457021
2016.08,2.0675897684903986e-09,2.0993037391839452e-07,1.0857340561715507e-08,0.20254941108446992,0.02110473718628825,27.090892838665837,-0.37282888238823114,0.05748067083626551,0.04282185742568665,0.10030252838788994
2016.09,1.9366776828700805e-09,1.9320449107748035e-07,9.39008637188066e-09,0.20223784214132678,0.020836206672696478,27.42292610969757,-0.37272052139323253,0.056403691630245285,0.040817606955604255,0.09722129850946255
2016.10,1.8750743473941155e-09,1.771185320067236e-07,8.542788130926865e-09,0.1981431314455321,0.020508460844177095,26.796612447302426,-0.3725794897955758,0.054647009673195315,0.038502664404517134,0.0931496742637053
2016.11,1.6881680546940001e-09,1.59211766054583e-07,7.536116822704336e-09,0.19168218254424446,0.02012674939897023,25.405711936124977,-0.3723513705792267,0.05299660859240484,0.03679011203305506,0.08978672057493874
2016.12,1.4962707030905565e-09,1.5581286417057036e-07,7.099511293027283e-09,0.18517717859504343,0.019760812839526614,24.06483912857991,-0.3723245987527574,0.051492423991789216,0.036261881018558005,0.0877543049540363
2017.01,1.3192591830892292e-09,2.0662526966699203e-07,9.593926826337639e-09,0.19240717590677175,0.02037434893921252,22.92087670738008,-0.3724032265917855,0.051084687768840606,0.04157017135560078,0.09265485928161818
2017.02,1.1988073057772268e-09,2.8249045112116757e-07,1.9255061710674436e-08,0.20408045624855015,0.024029196948326,22.184615509246516,-0.37252947154876914,0.05492005009005435,0.05993701555009805,0.1148570657494455
2017.03,1.3642910576290568e-09,3.2883642554561995e-07,3.392501152551835e-08,0.2132046163535991,0.03074753000678828,21.873722812574837,-0.37268478212202083,0.06380814827884362,0.06836899223639643,0.1321771405101455
2017.04,2.2330124647859563e-09,2.9369602623377794e-07,4.19310987978424e-08,0.20622380016451103,0.0344154528888091,21.932746453101775,-0.37266313815135427,0.07131420199776164,0.061897522645855976,0.13321172454211405
