Date (yyyy),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2015,2.421058566110067e-09,2.3922000387154714e-07,1.3681206913335278e-08,0.19403276543247674,0.021294716118584783,23.967109578396833,-0.3741280658295765,0.06057598870354358,0.04680552909478151,0.10738151777649756
2016,2.10401126218072e-09,2.1893160780772955e-07,1.2662619402999847e-08,0.19554448091160623,0.021719432378486243,24.269122564000043,-0.37333690025941824,0.05837289866906551,0.0454500830232358,0.10382298171455333
2017,2.3243949851501815e-09,2.2890334614690419e-07,1.715240790811555e-08,0.198788861664999,0.024855942000389455,24.141497991073564,-0.37221070902480674,0.06124945120086849,0.047731508321795034,0.10898095954944437
2018,2.3284108378525844e-09,2.303291042697464e-07,1.378384268492225e-08,0.19516693738990099,0.021394116303551248,24.274895428713567,-0.37260373255097695,0.059446494137148885,0.046310871239541716,0.10575736542093085
2019,1.976399324489542e-09,2.188993223538265e-07,1.2077648108329465e-08,0.19539649097919332,0.020927227017511495,24.273756583625428,-0.3715837372452953,0.055778681162125504,0.043477038797486905,0.09925571990876687
2020,2.1132849966982543e-09,2.2098436581181675e-07,1.2554103496507264e-08,0.19484675214386316,0.02138756241662534,24.228614473849657,-0.3704586862174945,0.056134962788885724,0.04428448083905951,0.10041944366649787
2021,2.1642735242074475e-09,2.3217286645764988e-07,1.2770158668318614e-08,0.19520878756639826,0.02143226139236963,24.324292356860948,-0.36949218283427543,0.057175961532731474,0.04573523491038035,0.10291119646211566
2022,2.167022473449432e-09,2.350234386944235e-07,1.3414871854626996e-08,0.19492817933838655,0.02134450296071953,24.048260354296342,-0.3686640717448941,0.05741632421230806,0.045880871611310485,0.10329719581104559
2023,2.1878964703278444e-09,2.3349348392423753e-07,1.2001875378140132e-08,0.19382935333657134,0.019958429112024733,24.242626439333858,-0.3678817921841056,0.05611792747986175,0.044201410718963476,0.1003193381728316
2024,2.17409428698105e-09,2.2810146752071296e-07,1.2030349230745195e-08,0.19305127872574226,0.02021828041684501,24.568450561675572,-0.3681648357314687,0.05524568000959703,0.04393592649225537,0.09918160648060699
2025,2.03304355631766e-09,2.2737679113898428e-07,1.2518142370798513e-08,0.1933049402499638,0.021205349281671754,24.486840370376502,-0.36675061070039067,0.05497138517380204,0.044073693657286105,0.09904507881153274
2026,2.094449681824666e-09,2.246496884537689e-07,1.2951973737135427e-08,0.19440677821885113,0.021404859427054515,24.27342574814696,-0.3650444814399421,0.055443587753442776,0.04413262576596699,0.09957621346208317
2027,2.2212565091121426e-09,2.2925155948469696e-07,1.3970068872091107e-08,0.19544682737370653,0.021285171838241097,24.558003699991165,-0.3656759027942835,0.056700197487841365,0.045200095279863316,0.10190029274856467
2028,2.4539939104538525e-09,2.436191640984613e-07,1.5520275491516204e-08,0.19704451701824058,0.02245168923379194,24.612779479120174,-0.3651547320015318,0.05986015203340891,0.04803086479060475,0.10789101679036829
2029,2.5156905378342124e-09,2.377050490342512e-07,1.7086070300587996e-08,0.19881884201667385,0.023791769129328556,24.71718978364889,-0.3637455499837962,0.06159897921933885,0.0484768213863579,0.11007580062797591
